root,molecule,basis,omegaA,omegaB,omegaC,ijk,value
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xxx,2.516336877089742e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xxy,1.3299534664668045e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xxz,2.1970044581376413e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xyx,1.3299534589172879e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xyy,1.9925827188238543e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xyz,-3.024743145442023
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xzx,2.197004437043404e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xzy,-3.0247431454425096
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,xzz,1.8633020197889039e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yxx,1.6568352090295946e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yxy,1.248559030164742e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yxz,-3.0247434147531522
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yyx,1.2485590119570844e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yyy,1.95513425982341e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yyz,2.4136277909647674e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yzx,-3.0247434147541132
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yzy,2.4136277725350652e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,yzz,4.834248681362396e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zxx,3.829896782381326e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zxy,-3.024743289042938
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zxz,1.1613338586347055e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zyx,-3.0247432890434203
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zyy,4.030894630080439e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zyz,1.5790859064779283e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zzx,1.1613338648519544e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zzy,1.579085715519568e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.2,0.1,0.1,zzz,6.7229760722931076e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xxx,2.5166749799687693e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xxy,1.3186746079529854e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xxz,2.183647672904243e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xyx,1.3376905751982804e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xyy,1.961540919026561e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xyz,-2.991780136921909
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xzx,2.2035642628370766e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xzy,-2.991780139274636
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,xzz,1.8318240346815173e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yxx,1.6416596753110468e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yxy,1.2450337834035707e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yxz,-2.991780573646453
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yyx,1.2286728054977658e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yyy,1.952662342041833e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yyz,2.3977500169802823e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yzx,-2.9917804053868835
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yzy,2.4219990615304e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,yzz,4.778153974704935e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zxx,3.795153198371537e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zxy,-2.991780450468859
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zxz,1.159053832244794e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zyx,-2.99178027985646
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zyy,3.994263114037722e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zyz,1.5358001026477552e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zzx,1.1400478925338575e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zzy,1.5869975023008465e-07
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.08,0.1,zzz,6.715808153145986e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xxx,2.5166746357996317e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xxy,1.3376905241280213e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xxz,2.203564280156556e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xyx,1.3186745573268155e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xyy,1.961540637918091e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xyz,-2.9917801392849483
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xzx,2.183647662912236e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xzy,-2.991780136933193
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,xzz,1.831823777997954e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yxx,1.6416596855250987e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yxy,1.228672675601672e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yxz,-2.991780405396767
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yyx,1.2450336543956553e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yyy,1.9526623513677066e-06
/home/ahurtado/Projects/gecko/migration/templates/outputs/BetaRaman,,,-0.18,0.1,0.08,yyz,2.4219990992779827e-06
