ijk,Afreq,Bfreq,Cfreq,molecule,Beta,basis,omega
xxx,-0.0,0.0,0.0,n11,28705.038494450844,MRA,0
xxy,-0.0,0.0,0.0,n11,30273.983774280445,MRA,0
xxz,-0.0,0.0,0.0,n11,0.003558377215838636,MRA,0
xyx,-0.0,0.0,0.0,n11,30273.983774278095,MRA,0
xyy,-0.0,0.0,0.0,n11,30458.090097996792,MRA,0
xyz,-0.0,0.0,0.0,n11,0.002179660404197677,MRA,0
xzx,-0.0,0.0,0.0,n11,0.0035583771991379116,MRA,0
xzy,-0.0,0.0,0.0,n11,0.002179660390895017,MRA,0
xzz,-0.0,0.0,0.0,n11,-26.00548652088401,MRA,0
yxx,-0.0,0.0,0.0,n11,30274.0432391511,MRA,0
yxy,-0.0,0.0,0.0,n11,30458.142737012335,MRA,0
yxz,-0.0,0.0,0.0,n11,0.0021882061138862458,MRA,0
yyx,-0.0,0.0,0.0,n11,30458.14273701077,MRA,0
yyy,-0.0,0.0,0.0,n11,29620.673673962454,MRA,0
yyz,-0.0,0.0,0.0,n11,0.0012505149368327514,MRA,0
yzx,-0.0,0.0,0.0,n11,0.002188206105688005,MRA,0
yzy,-0.0,0.0,0.0,n11,0.0012505149257025594,MRA,0
yzz,-0.0,0.0,0.0,n11,-25.75898044417795,MRA,0
zxx,-0.0,0.0,0.0,n11,0.0035811291242539294,MRA,0
zxy,-0.0,0.0,0.0,n11,0.0022015448591614934,MRA,0
zxz,-0.0,0.0,0.0,n11,-26.003985892860065,MRA,0
zyx,-0.0,0.0,0.0,n11,0.0022015448596060657,MRA,0
zyy,-0.0,0.0,0.0,n11,0.0012660265850734142,MRA,0
zyz,-0.0,0.0,0.0,n11,-25.758403483024217,MRA,0
zzx,-0.0,0.0,0.0,n11,-26.003985892837576,MRA,0
zzy,-0.0,0.0,0.0,n11,-25.758403483050834,MRA,0
zzz,-0.0,0.0,0.0,n11,7.225594971302767e-05,MRA,0
xxx,-0.0,0.0,0.0,n16,87.75138616981405,MRA,0
xxy,-0.0,0.0,0.0,n16,-946.6498376595537,MRA,0
xxz,-0.0,0.0,0.0,n16,0.00014902427467600274,MRA,0
xyx,-0.0,0.0,0.0,n16,-946.6498376593827,MRA,0
xyy,-0.0,0.0,0.0,n16,2380.000850490411,MRA,0
xyz,-0.0,0.0,0.0,n16,-0.001242797915206022,MRA,0
xzx,-0.0,0.0,0.0,n16,0.00014902427552582697,MRA,0
xzy,-0.0,0.0,0.0,n16,-0.0012427979178962845,MRA,0
xzz,-0.0,0.0,0.0,n16,-0.5879154077270288,MRA,0
yxx,-0.0,0.0,0.0,n16,-946.6592337653042,MRA,0
yxy,-0.0,0.0,0.0,n16,2380.147103142062,MRA,0
yxz,-0.0,0.0,0.0,n16,-0.0012466108815412345,MRA,0
yyx,-0.0,0.0,0.0,n16,2380.1471031412225,MRA,0
yyy,-0.0,0.0,0.0,n16,144985.5614288186,MRA,0
yyz,-0.0,0.0,0.0,n16,0.01745611495108329,MRA,0
yzx,-0.0,0.0,0.0,n16,-0.001246610885639156,MRA,0
yzy,-0.0,0.0,0.0,n16,0.01745611497324391,MRA,0
yzz,-0.0,0.0,0.0,n16,-27.988649957358795,MRA,0
zxx,-0.0,0.0,0.0,n16,0.00014284447546461334,MRA,0
zxy,-0.0,0.0,0.0,n16,-0.0012447882620014983,MRA,0
zxz,-0.0,0.0,0.0,n16,-0.5858097715892246,MRA,0
zyx,-0.0,0.0,0.0,n16,-0.0012447882608521926,MRA,0
zyy,-0.0,0.0,0.0,n16,0.017426298734005002,MRA,0
zyz,-0.0,0.0,0.0,n16,-27.98842029818556,MRA,0
zzx,-0.0,0.0,0.0,n16,-0.5858097715884439,MRA,0
zzy,-0.0,0.0,0.0,n16,-27.9884202982455,MRA,0
zzz,-0.0,0.0,0.0,n16,9.986768966755281e-05,MRA,0
xxx,-0.0,0.0,0.0,n15,75.05932905658202,MRA,0
xxy,-0.0,0.0,0.0,n15,-902.2591150752903,MRA,0
xxz,-0.0,0.0,0.0,n15,-0.0002471938426206355,MRA,0
xyx,-0.0,0.0,0.0,n15,-902.2591150753567,MRA,0
xyy,-0.0,0.0,0.0,n15,2926.1461086259246,MRA,0
xyz,-0.0,0.0,0.0,n15,0.0016773798122647371,MRA,0
xzx,-0.0,0.0,0.0,n15,-0.0002471939445074685,MRA,0
xzy,-0.0,0.0,0.0,n15,0.0016773798121480278,MRA,0
xzz,-0.0,0.0,0.0,n15,-0.823248782107342,MRA,0
yxx,-0.0,0.0,0.0,n15,-902.2568442257905,MRA,0
yxy,-0.0,0.0,0.0,n15,2926.2330580812295,MRA,0
yxz,-0.0,0.0,0.0,n15,0.0017328108151683647,MRA,0
yyx,-0.0,0.0,0.0,n15,2926.2330580814187,MRA,0
yyy,-0.0,0.0,0.0,n15,134006.24942598728,MRA,0
yyz,-0.0,0.0,0.0,n15,-0.004422976021015816,MRA,0
yzx,-0.0,0.0,0.0,n15,0.0017328100690911217,MRA,0
yzy,-0.0,0.0,0.0,n15,-0.00442297601775956,MRA,0
yzz,-0.0,0.0,0.0,n15,-28.935717653980127,MRA,0
zxx,-0.0,0.0,0.0,n15,-0.00024245108551316876,MRA,0
zxy,-0.0,0.0,0.0,n15,0.001724800914550447,MRA,0
zxz,-0.0,0.0,0.0,n15,-0.8283425890485826,MRA,0
zyx,-0.0,0.0,0.0,n15,0.0017248009151250756,MRA,0
zyy,-0.0,0.0,0.0,n15,-0.0043015258930738515,MRA,0
zyz,-0.0,0.0,0.0,n15,-28.9354411496202,MRA,0
zzx,-0.0,0.0,0.0,n15,-0.8283425889976928,MRA,0
zzy,-0.0,0.0,0.0,n15,-28.93544114968043,MRA,0
zzz,-0.0,0.0,0.0,n15,-0.0013337975300942075,MRA,0
xxx,-0.0,0.0,0.0,n13,35640.276377268485,MRA,0
xxy,-0.0,0.0,0.0,n13,38951.788702429454,MRA,0
xxz,-0.0,0.0,0.0,n13,-0.002093858384682101,MRA,0
xyx,-0.0,0.0,0.0,n13,38951.78870242577,MRA,0
xyy,-0.0,0.0,0.0,n13,40949.03510046605,MRA,0
xyz,-0.0,0.0,0.0,n13,-0.0019935413824462497,MRA,0
xzx,-0.0,0.0,0.0,n13,-0.0020938583723957727,MRA,0
xzy,-0.0,0.0,0.0,n13,-0.001993541456226167,MRA,0
xzz,-0.0,0.0,0.0,n13,-22.59726586373958,MRA,0
yxx,-0.0,0.0,0.0,n13,38951.77912410755,MRA,0
yxy,-0.0,0.0,0.0,n13,40949.02630586265,MRA,0
yxz,-0.0,0.0,0.0,n13,-0.001984021103520552,MRA,0
yyx,-0.0,0.0,0.0,n13,40949.026305860054,MRA,0
yyy,-0.0,0.0,0.0,n13,41835.5329496805,MRA,0
yyz,-0.0,0.0,0.0,n13,-0.0018902917941665627,MRA,0
yzx,-0.0,0.0,0.0,n13,-0.00198402109383611,MRA,0
yzy,-0.0,0.0,0.0,n13,-0.0018902918804507376,MRA,0
yzz,-0.0,0.0,0.0,n13,-23.557534290592088,MRA,0
